City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,sao jose da coroa grande,-8.8978,-35.1478,300.51,60,39,6.12,BR,1696439127
287,lazaro cardenas,17.9583,-102.2,304.09,66,68,1.82,MX,1696439127
288,bojnurd,37.4747,57.329,293.12,52,0,7.2,IR,1696439127
289,thompson,55.7435,-97.8558,281.24,81,75,2.06,CA,1696438897
290,dunedin,-45.8742,170.5036,284.71,99,98,1.34,NZ,1696439127
291,nova xavantina,-14.6667,-52.35,314.36,19,42,2.16,BR,1696439128
292,lochow,52.5308,21.6816,287.0,65,92,6.23,PL,1696439128
293,saynshand,44.8824,110.1163,281.44,28,0,3.85,MN,1696439129
294,rehoboth,-23.3167,17.0833,301.89,24,88,4.54,NA,1696439129
295,zaragoza,41.6561,-0.8773,301.93,38,0,2.57,ES,1696439129
296,fada,9.5667,8.3,297.49,82,60,1.12,NG,1696439129
297,kingscliff,-28.2667,153.5667,295.04,78,100,6.17,AU,1696439130
298,hit,33.6416,42.8251,300.17,40,94,2.59,IQ,1696439131
299,north bend,43.4065,-124.2243,290.46,88,0,3.09,US,1696439113
300,chake chake,-5.2459,39.7666,297.88,85,62,4.33,TZ,1696439131
301,thunder bay,48.4001,-89.3168,295.14,56,75,8.23,CA,1696438990
302,motueka,-41.1333,173.0167,282.09,60,86,1.45,NZ,1696438899
303,ilheus,-14.7889,-39.0494,300.05,78,75,6.69,BR,1696439131
304,salavan,15.7167,106.4167,297.45,97,99,0.97,LA,1696438891
305,ghanzi,-21.5667,21.7833,300.23,10,13,4.29,BW,1696439132
306,port douglas,-16.4833,145.4667,295.7,86,53,1.5,AU,1696439132
307,krasnogorskoye,52.2953,86.1979,281.53,79,1,1.35,RU,1696439132
308,laurel,39.0993,-76.8483,302.18,60,0,3.09,US,1696439132
309,eirunepe,-6.6603,-69.8736,313.3,22,64,1.88,BR,1696439132
310,queimadas,-10.9783,-39.6264,309.7,23,5,3.53,BR,1696439133
311,raton,36.9034,-104.4391,288.49,39,0,2.57,US,1696439133
312,nikolayevsk-on-amure,53.1406,140.73,278.28,96,99,1.83,RU,1696439133
313,saldanha,-33.0117,17.9442,291.18,86,100,3.64,ZA,1696439133
314,beira,-19.8436,34.8389,296.2,56,0,4.12,MZ,1696439133
315,thetford-mines,46.0937,-71.3054,296.21,57,77,2.96,CA,1696439133
316,honcho,35.6931,139.9833,293.72,81,100,3.05,JP,1696439133
317,alofi,-19.0595,-169.9187,295.09,100,100,4.12,NU,1696439134
318,prince rupert,54.3161,-130.3201,283.98,98,100,5.14,CA,1696439134
319,gillette,44.2911,-105.5022,287.66,50,0,3.09,US,1696439134
320,vegreville,53.5001,-112.0518,282.54,76,26,9.77,CA,1696439077
321,joshimath,30.5667,79.5667,289.69,68,4,1.02,IN,1696439134
322,taltal,-25.4,-70.4833,291.84,64,56,4.02,CL,1696439134
323,masterton,-40.9597,175.6575,283.64,91,53,1.51,NZ,1696438958
324,hauterive,46.0901,3.4459,291.57,56,100,2.05,FR,1696439135
325,enewetak,11.3474,162.3373,302.25,77,50,7.42,MH,1696439135
326,banff,51.1762,-115.5698,283.36,62,82,3.09,CA,1696438898
327,catriel,-37.8791,-67.7956,291.79,23,4,4.15,AR,1696439135
328,barberton,-25.7884,31.0532,299.18,36,0,1.35,ZA,1696439135
329,hobyo,5.3505,48.5268,299.59,86,69,7.22,SO,1696439135
330,haiku-pauwela,20.9219,-156.3051,297.62,72,2,1.96,US,1696438859
331,talcahuano,-36.7167,-73.1167,287.97,63,0,4.63,CL,1696438940
332,waimea,20.0231,-155.6717,296.49,86,10,0.99,US,1696439136
333,altay,47.8667,88.1167,282.35,66,70,2.3,CN,1696439136
334,gummi,12.1436,5.1081,303.51,52,99,1.67,NG,1696439136
335,ponta delgada,37.7333,-25.6667,299.37,88,20,4.63,PT,1696439136
336,ghat,24.9647,10.1728,300.92,34,30,4.61,LY,1696439136
337,vilyuysk,63.7553,121.6247,272.04,94,100,4.02,RU,1696439136
338,colonia,50.9333,6.95,290.27,71,0,1.54,DE,1696438909
